,marla,area_sqft,floor_number,total_floors,bedrooms,bathrooms,kitchens,servant_quarters,store_rooms,society,luxury_score,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,other_rooms,price_per_sqft,price,agePossession
87,10.4,2831.4,9.0,9.0,1.0,1.0,1.0,,,Askari 11,140,1,1,0,0,1,1,1,1,0,0,13420.922511831603,3.8,New Property
88,10.0,2722.5,,9.0,3.0,4.0,1.0,1.0,1.0,Askari 11,98,1,1,0,0,1,1,0,0,0,1,11570.247933884297,3.15,New Property
89,12.0,3267.0,,,4.0,5.0,1.0,1.0,1.0,Askari 11,72,1,1,1,1,0,0,1,0,0,0,9243.954698500153,3.02,Relatively New
90,11.0,2994.75,4.0,9.0,3.0,4.0,1.0,1.0,1.0,Askari 10,131,1,1,1,1,1,1,1,1,1,1,10852.32490191168,3.25,New Property
91,10.0,2722.5,,,3.0,4.0,1.0,1.0,1.0,Askari 11,107,1,1,1,1,1,1,0,1,1,0,9182.736455463728,2.5,Relatively New
92,10.0,2722.5,,,1.0,1.0,1.0,1.0,1.0,Askari 11,114,1,1,0,0,1,1,0,0,0,1,9733.700642791551,2.65,Undefined
93,10.0,2722.5,,,1.0,1.0,1.0,1.0,1.0,Askari 11,91,1,1,1,0,1,1,1,1,1,1,9733.700642791551,2.65,Undefined
94,10.0,2722.5,2.0,8.0,3.0,3.0,1.0,1.0,1.0,Askari 11,104,1,1,1,1,0,0,1,0,0,0,12304.866850321396,3.35,Under construction
95,10.0,2722.5,1.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,120,1,1,1,1,1,1,1,1,1,0,10468.31955922865,2.85,Relatively New
96,12.0,3267.0,,,4.0,5.0,2.0,1.0,1.0,Askari 10,110,1,1,1,1,1,1,1,1,1,1,12549.739822467096,4.1,New Property
97,10.0,2722.5,2.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,114,1,1,1,1,1,1,1,1,1,0,14986.225895316804,4.08,Undefined
98,10.0,2722.5,,,3.0,3.0,1.0,1.0,1.0,Askari 11,83,1,1,1,1,1,1,1,1,1,0,12121.212121212122,3.3,Undefined
99,10.0,2722.5,2.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,122,1,1,1,0,1,1,1,1,1,0,10541.78145087236,2.87,Undefined
100,10.0,2722.5,2.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,119,1,1,1,1,1,1,1,1,1,0,10725.436179981634,2.92,Undefined
101,12.0,3267.0,7.0,9.0,4.0,5.0,1.0,1.0,1.0,Askari 10,92,1,1,1,1,0,0,1,0,0,0,13314.967860422406,4.35,New Property
102,12.0,3267.0,,,4.0,4.0,1.0,1.0,1.0,Askari 11,57,1,1,1,1,1,1,1,0,1,0,13008.876645240282,4.25,New Property
103,12.2,3321.45,5.0,10.0,5.0,5.0,1.0,1.0,1.0,Askari 10,126,1,1,1,1,1,1,1,1,1,1,13849.373014797755,4.6,New Property
104,12.2,3321.45,3.0,10.0,5.0,5.0,1.0,1.0,1.0,Askari 10,93,1,1,0,0,0,0,0,0,0,1,13548.299688389108,4.5,New Property
105,12.2,3321.45,3.0,10.0,5.0,5.0,1.0,1.0,1.0,Askari 10,93,1,1,0,0,1,0,0,0,0,1,15354.73964684099,5.1,New Property
106,12.2,3321.45,5.0,10.0,5.0,5.0,1.0,1.0,1.0,Askari 10,89,1,1,0,0,1,0,0,0,0,1,13397.763025184784,4.45,New Property
107,12.0,3267.0,,,4.0,4.0,1.0,1.0,1.0,Askari 10,72,1,1,0,0,0,0,0,0,0,0,14539.332721150902,4.75,New Property
108,13.5,3675.375,7.0,9.0,4.0,5.0,1.0,1.0,1.0,Askari 10,106,1,1,1,1,0,0,1,0,1,0,12325.272931333537,4.53,Under construction
109,13.0,3539.25,1.0,1.0,4.0,5.0,2.0,1.0,1.0,Askari 10,124,1,1,0,1,0,1,1,0,0,0,12432.012432012432,4.4,New Property
110,13.0,3539.25,1.0,1.0,4.0,5.0,2.0,1.0,1.0,Askari 10,139,1,1,1,1,1,1,1,1,1,1,12714.558169103624,4.5,New Property
112,12.0,3267.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,Askari 11,110,1,1,0,1,0,1,1,0,0,0,11325.374961738598,3.7,Undefined
113,10.0,2722.5,,,3.0,3.0,1.0,1.0,1.0,Askari 10,116,1,1,1,1,1,1,1,1,1,1,13406.795224977042,3.65,New Property
114,10.0,2722.5,2.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 10,129,1,1,1,1,1,1,1,1,1,1,11937.557392102846,3.25,Relatively New
115,10.0,2722.5,1.0,1.0,3.0,3.0,1.0,1.0,1.0,Askari 11,122,1,1,1,1,0,1,0,0,0,0,10101.0101010101,2.75,Undefined
116,10.0,2722.5,1.0,1.0,3.0,3.0,1.0,1.0,1.0,Askari 11,132,1,1,1,1,1,1,1,1,1,1,9550.045913682277,2.6,Undefined
117,11.0,2994.75,4.0,9.0,4.0,3.0,1.0,1.0,1.0,Askari 11,66,1,1,1,1,1,0,0,1,0,0,10017.530678687703,3.0,New Property
118,12.9,3512.025,5.0,9.0,4.0,5.0,1.0,1.0,1.0,Askari 10,118,1,1,1,1,1,1,1,1,1,1,13240.224656715143,4.65,New Property
119,12.0,3267.0,4.0,9.0,4.0,5.0,1.0,1.0,1.0,Askari 10,140,1,1,1,1,1,1,1,1,1,1,13774.104683195592,4.5,New Property
120,12.0,3267.0,3.0,9.0,4.0,5.0,1.0,1.0,1.0,Askari 10,96,1,1,1,1,0,0,1,0,0,0,13927.150290786654,4.55,New Property
121,10.0,2722.5,2.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,97,1,1,1,1,0,0,1,0,0,0,12855.831037649219,3.5,Under construction
122,10.0,2722.5,2.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,104,1,1,1,1,0,0,1,0,0,0,13039.485766758495,3.55,Under construction
123,10.0,2722.5,,,,,,,,Askari 11,23,0,0,0,0,0,0,0,0,0,0,16528.92561983471,4.5,Undefined
124,10.0,2722.5,1.0,,3.0,3.0,1.0,1.0,1.0,Askari 11,128,1,1,1,1,1,1,1,1,1,1,11937.557392102846,3.25,New Property
125,12.0,3267.0,,,4.0,5.0,1.0,1.0,1.0,Askari 10,75,1,1,1,1,0,0,1,0,0,0,13621.05907560453,4.45,Undefined
126,12.0,3267.0,,,4.0,5.0,1.0,1.0,1.0,Askari 10,66,1,1,1,1,0,0,1,0,0,0,13008.876645240282,4.25,Undefined
