bedrooms,baths,area_sqft,kitchens,store_rooms,gym,furnishing_score,agePossession,has_servant_room,floor_category,price
6.0,6.0,6534.023999999999,3.0,1.0,1,25,1.0,1,1.0,11.25
5.0,6.0,5445.02,3.0,2.0,1,25,1.0,1,1.0,9.9
5.0,6.0,5445.02,2.0,2.0,1,15,1.0,1,1.0,11.5
6.0,7.0,5445.02,3.0,2.0,1,25,1.0,1,1.0,11.75
6.0,7.0,5445.02,2.0,1.0,0,24,1.0,0,2.0,16.5
3.0,4.0,1361.255,2.0,1.0,0,24,1.0,0,2.0,3.2
4.0,5.0,1361.255,2.0,1.0,1,25,1.0,0,2.0,2.9
5.0,6.0,5445.02,2.0,1.0,0,25,1.0,1,2.0,10.99
5.0,6.0,5445.02,2.0,1.0,1,25,1.0,1,2.0,11.5
5.0,6.0,5445.02,3.0,2.0,1,25,1.0,1,1.0,11.0
5.0,6.0,5445.02,2.0,2.0,1,25,1.0,1,1.0,7.49
3.0,5.0,1905.757,2.0,2.0,1,25,1.0,1,1.0,2.85
5.0,6.0,5445.02,2.0,1.0,1,15,1.0,0,1.0,7.55
4.0,5.0,2178.008,2.0,1.0,1,25,3.0,1,1.0,4.35
5.0,6.0,5445.02,2.0,1.0,0,7,4.0,1,1.0,9.5
5.0,6.0,5445.02,2.0,2.0,1,25,1.0,1,2.0,7.95
6.0,7.0,10890.04,2.0,2.0,1,25,1.0,1,1.0,39.0
5.0,6.0,5445.02,2.0,1.0,0,15,1.0,1,1.0,12.45
5.0,6.0,5445.02,2.0,1.0,1,25,1.0,1,1.0,8.99
6.0,7.0,10890.04,2.0,2.0,1,25,1.0,1,1.0,38.0
5.0,6.0,5445.02,2.0,1.0,0,18,1.0,1,2.0,14.75
5.0,7.0,10890.04,2.0,1.0,1,8,1.0,1,1.0,37.0
5.0,6.0,5445.02,2.0,1.0,0,8,1.0,1,1.0,11.25
5.0,6.0,5445.02,2.0,1.0,0,8,1.0,1,1.0,10.95
5.0,6.0,10890.04,3.0,2.0,1,25,1.0,1,1.0,28.0
5.0,5.0,2722.51,2.0,1.0,1,25,1.0,1,1.0,4.5
5.0,6.0,5445.02,3.0,2.0,1,25,1.0,1,1.0,6.99
6.0,7.0,5445.02,2.0,2.0,1,25,1.0,1,1.0,15.5
4.0,5.0,1633.506,2.0,1.0,0,13,4.0,0,1.0,3.9
6.0,6.0,5445.02,2.0,1.0,1,25,3.0,1,1.0,11.6
3.0,4.0,1361.255,1.0,1.0,1,25,1.0,1,1.0,2.05
7.0,6.0,5445.02,2.0,1.0,0,15,4.0,1,1.0,15.5
5.0,6.0,5445.02,2.0,1.0,0,24,1.0,0,2.0,7.9
5.0,6.0,5445.02,2.0,1.0,0,24,1.0,0,2.0,12.99
4.0,5.0,2722.51,2.0,1.0,1,15,4.0,1,1.0,4.7
4.0,5.0,2722.51,2.0,2.0,1,15,4.0,1,1.0,6.3
5.0,6.0,5445.02,2.0,2.0,1,25,1.0,1,1.0,7.65
4.0,5.0,1361.255,2.0,1.0,1,25,1.0,0,1.0,2.95
4.0,6.0,2722.51,2.0,1.0,1,15,1.0,1,1.0,4.9
4.0,6.0,2722.51,2.0,1.0,1,15,1.0,1,1.0,5.1
4.0,6.0,2722.51,2.0,1.0,1,15,1.0,1,1.0,4.1
5.0,6.0,5445.02,2.0,2.0,1,25,1.0,1,2.0,8.65
4.0,6.0,2722.51,2.0,1.0,1,25,1.0,1,1.0,4.25
5.0,6.0,5445.02,2.0,1.0,1,25,1.0,1,1.0,15.0
6.0,6.0,5445.02,2.0,1.0,1,15,1.0,1,2.0,12.5
5.0,6.0,5445.02,2.0,1.0,0,6,1.0,1,1.0,13.25
5.0,6.0,5445.02,2.0,1.0,0,12,0.0,0,1.0,11.0
4.0,6.0,2722.51,2.0,1.0,1,15,1.0,1,1.0,4.15
4.0,5.0,2722.51,2.0,1.0,1,25,1.0,1,1.0,5.8
3.0,5.0,1361.255,2.0,1.0,1,15,1.0,0,1.0,2.75
5.0,6.0,5445.02,2.0,1.0,1,15,1.0,1,1.0,8.75
5.0,6.0,5445.02,2.0,2.0,1,25,1.0,1,1.0,7.72
5.0,6.0,5445.02,3.0,1.0,1,25,1.0,1,1.0,7.05
5.0,6.0,5445.02,2.0,2.0,0,14,1.0,1,1.0,8.75
6.0,7.0,5445.02,2.0,2.0,0,3,1.0,1,1.0,14.0
5.0,6.0,5445.02,2.0,2.0,1,25,1.0,1,1.0,8.5
3.0,4.0,1361.255,2.0,1.0,1,25,1.0,1,1.0,2.3
6.0,7.0,10890.04,4.0,3.0,1,25,1.0,1,2.0,27.5
3.0,4.0,1361.255,2.0,1.0,1,15,1.0,0,1.0,3.21
5.0,6.0,5445.02,2.0,1.0,1,24,4.0,0,1.0,14.7
5.0,7.0,5445.02,3.0,1.0,1,25,1.0,1,2.0,9.65
3.0,4.0,1361.255,2.0,1.0,1,15,1.0,0,1.0,2.3
3.0,4.0,1442.9302999999998,2.0,1.0,0,7,4.0,1,1.0,3.3
3.0,4.0,1361.255,2.0,1.0,0,25,1.0,0,1.0,2.6
3.0,4.0,1361.255,2.0,1.0,0,15,1.0,0,1.0,1.9
4.0,6.0,2722.51,2.0,1.0,1,25,1.0,1,1.0,5.35
6.0,7.0,5445.02,3.0,1.0,1,25,1.0,1,2.0,16.5
5.0,7.0,5445.02,3.0,1.0,1,25,1.0,1,2.0,8.85
5.0,7.0,5445.02,3.0,1.0,1,25,1.0,1,2.0,7.38
1.0,1.0,1361.255,1.0,1.0,1,15,1.0,0,1.0,2.1
4.0,5.0,1361.255,2.0,1.0,1,15,1.0,0,1.0,2.9
6.0,7.0,5445.02,3.0,2.0,0,25,1.0,1,1.0,14.75
6.0,7.0,10890.04,2.0,2.0,0,25,1.0,1,1.0,42.0
5.0,6.0,5445.02,2.0,1.0,1,25,0.0,1,1.0,8.75
6.0,7.0,5989.521999999999,2.0,1.0,1,25,1.0,1,1.0,10.5
6.0,7.0,10890.04,3.0,2.0,1,25,1.0,1,1.0,28.0
7.0,7.0,11434.542,2.0,2.0,1,25,1.0,1,1.0,34.0
3.0,4.0,5445.02,1.0,1.0,1,15,3.0,1,1.0,6.6
6.0,7.0,5445.02,2.0,2.0,0,25,1.0,1,1.0,25.0
6.0,7.0,5445.02,2.0,1.0,0,25,1.0,1,2.0,25.75
5.0,6.0,5445.02,2.0,1.0,0,15,1.0,1,1.0,15.0
4.0,5.0,10890.04,1.0,3.0,1,25,1.0,0,2.0,16.5
6.0,7.0,10890.04,2.0,2.0,1,25,3.0,1,1.0,16.5
4.0,5.0,2722.51,2.0,1.0,1,25,1.0,0,1.0,3.9
3.0,4.0,1361.255,2.0,1.0,1,25,1.0,1,1.0,2.55
5.0,6.0,5445.02,2.0,1.0,0,1,4.0,1,1.0,13.5
3.0,3.0,1361.255,1.0,1.0,1,25,3.0,1,1.0,2.5
5.0,6.0,5445.02,2.0,1.0,0,2,4.0,1,1.0,11.35
6.0,6.0,5445.02,3.0,2.0,1,25,1.0,1,2.0,19.75
3.0,5.0,1361.255,2.0,1.0,0,15,1.0,1,1.0,3.05
3.0,4.0,1361.255,2.0,1.0,0,15,1.0,0,1.0,1.9
3.0,3.0,2722.51,1.0,1.0,0,15,1.0,0,1.0,3.9
4.0,5.0,1361.255,2.0,1.0,1,15,1.0,0,1.0,2.25
3.0,5.0,1361.255,2.0,1.0,1,25,1.0,0,1.0,2.15
5.0,6.0,10890.04,2.0,2.0,1,25,1.0,1,1.0,41.5
5.0,6.0,10890.04,3.0,1.0,0,25,1.0,0,1.0,31.75
5.0,6.0,5445.02,2.0,1.0,1,25,1.0,0,2.0,10.5
5.0,6.0,5445.02,2.0,1.0,0,25,3.0,1,1.0,7.5
