bedrooms,baths,floors_in_building,area_sqft,servant_quarters,kitchens,store_rooms,drawing_room,furnishing_score,agePossession,luxury_category,floor_category,price
3.0,3.0,1.0,3264.0,1.0,1.0,1.0,1,49,0.0,3.0,1.0,3.65
3.0,4.0,8.0,3046.4,1.0,1.0,1.0,1,37,1.0,1.0,2.0,5.3
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,49,1.0,3.0,2.0,3.25
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,39,3.0,0.0,2.0,2.85
3.0,4.0,6.0,2720.0,1.0,1.0,1.0,1,39,1.0,3.0,2.0,4.25
3.0,3.0,7.0,2720.0,0.0,1.0,0.0,1,39,3.0,3.0,1.0,3.1
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,39,3.0,3.0,2.0,2.75
3.0,3.0,7.0,2720.0,1.0,1.0,1.0,1,49,3.0,3.0,2.0,2.6
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,49,3.0,3.0,2.0,3.15
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,49,3.0,3.0,1.0,3.1
4.0,4.0,8.0,3508.8,0.0,1.0,0.0,0,0,4.0,1.0,2.0,4.45
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,49,1.0,3.0,2.0,3.6
3.0,4.0,3.0,2747.2,1.0,1.0,1.0,1,39,1.0,0.0,2.0,4.05
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,39,4.0,3.0,2.0,1.6
3.0,4.0,9.0,2720.0,1.0,1.0,1.0,1,49,1.0,0.0,2.0,4.0
4.0,5.0,8.0,3264.0,1.0,1.0,1.0,1,49,3.0,2.0,2.0,3.35
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,39,3.0,0.0,2.0,3.2
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,32,3.0,2.0,2.0,2.5
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,39,3.0,2.0,2.0,3.25
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,49,3.0,3.0,2.0,3.0
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,39,3.0,0.0,1.0,5.65
3.0,3.0,3.0,2720.0,1.0,1.0,1.0,1,49,2.0,2.0,2.0,2.4
3.0,3.0,7.0,2720.0,1.0,1.0,1.0,1,49,3.0,3.0,2.0,2.95
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,49,1.0,3.0,1.0,3.1
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,49,1.0,3.0,1.0,3.1
3.0,5.0,8.0,2720.0,1.0,1.0,1.0,1,37,1.0,2.0,1.0,3.1
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,49,1.0,3.0,1.0,3.0
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,49,1.0,3.0,1.0,3.0
3.0,3.0,9.0,2992.0,1.0,1.0,1.0,1,49,3.0,3.0,1.0,2.95
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,39,3.0,2.0,1.0,2.9
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,39,3.0,3.0,2.0,3.45
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,39,3.0,0.0,2.0,3.4
3.0,3.0,8.0,2720.0,0.0,1.0,0.0,0,17,1.0,1.0,0.0,4.35
4.0,5.0,7.0,2720.0,1.0,1.0,1.0,1,24,3.0,2.0,2.0,2.9
3.0,3.0,1.0,2720.0,1.0,1.0,1.0,1,49,1.0,3.0,1.0,2.6
3.0,3.0,4.0,2992.0,1.0,1.0,1.0,1,25,0.0,1.0,1.0,3.15
3.0,3.0,8.0,3073.6000000000004,0.0,1.0,0.0,0,0,4.0,1.0,2.0,3.25
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,39,1.0,1.0,2.0,2.5
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,49,4.0,2.0,2.0,3.5
3.0,3.0,8.0,1278.4,0.0,1.0,0.0,1,22,1.0,1.0,2.0,3.7
4.0,5.0,7.0,3264.0,1.0,1.0,1.0,1,39,3.0,2.0,2.0,3.3
3.0,3.0,8.0,2720.0,0.0,1.0,1.0,1,37,1.0,2.0,2.0,3.9
4.0,4.0,8.0,3264.0,1.0,1.0,1.0,1,24,1.0,2.0,2.0,4.5
