society,bedrooms,baths,link,floors_in_building,price,area,area_sqft,servant_quarters,kitchens,store_rooms,price_per_sqft,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,other_rooms,luxury_score,furnishing_score,floor,agePossession,lat,lon
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_askari_11_3_bed_apartment_available_for_sale-53921088-1503-1.html,8.0,2.88,10.0,2720.0,0.0,1.0,0.0,10588.235294117649,1,1,1,1,1,1,1,1,1,1,184.0,49,3.0,Undefined,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_askari_11_10_marla_3_bed_flat_for_sale_askari_11_lahore-29907141-1503-1.html,7.0,2.75,10.0,2720.0,1.0,1.0,1.0,10110.29411764706,1,1,1,1,1,1,1,1,1,1,184.0,49,3.0,Relatively New,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_askari_11_10_marla_3_bedroom_flat_availble_for_sale_in_askari_11_lahore-52930619-1503-1.html,8.0,2.85,10.0,2720.0,1.0,1.0,1.0,10477.941176470587,1,1,1,1,1,1,0,1,1,0,138.0,39,3.0,New Property,31.465334,74.3801628
Askari Housing Society,4.0,4.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_hot_location_12_marla_4_bed_luxury_apartment_available_for_sale_in_askari_10_sector_s-53300857-21434-1.html,8.0,4.4,12.0,3264.0,0.0,1.0,1.0,13480.392156862745,0,1,1,0,0,0,0,0,0,0,141.0,24,3.0,New Property,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_11_askari_11_-_sector_d_facing_park_10_marla_3_bed_modern_apartment_available_for_sale_in_askari_11-53587311-21437-1.html,5.0,3.85,10.1,2747.2,1.0,1.0,1.0,14014.26907396622,1,1,1,1,0,0,0,0,0,1,156.0,49,2.0,Undefined,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_askari_11_10_marla_3_bedroom_flat_available_for_sale_in_askari_11_lahore-53648385-1503-1.html,3.0,3.75,10.0,2720.0,1.0,1.0,1.0,13786.764705882351,1,1,1,1,1,1,0,1,1,0,179.0,39,3.0,New Property,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_askari_11_10_marla_3_bedroom_flat_availble_for_sale_in_askari_11_lahore-53648412-1503-1.html,8.0,3.95,10.0,2720.0,1.0,1.0,1.0,14522.058823529413,1,1,1,1,1,1,0,0,1,0,127.0,30,3.0,New Property,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_askari_11_3_bedroom_modern_apartment_available_on_installment_plan_-in_askari_11-53629093-1503-1.html,8.0,4.2,11.9,3236.8,0.0,1.0,1.0,12975.7785467128,0,1,1,0,0,0,0,0,0,0,120.0,24,3.0,Undefined,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_d_luxury_3_bed_flat_for_sale_askari_11_d-53280218-9435-1.html,10.0,4.4,10.0,2720.0,0.0,1.0,1.0,16176.470588235294,1,1,1,1,1,1,1,1,1,0,184.0,39,3.0,Undefined,31.465334,74.3801628
Askari Housing Society,4.0,4.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_prime_location_4_bed_brand_new_modern_apartment_available_for_sale_in_askari_10_sector_s-53277866-21434-1.html,10.0,4.5,13.0,3536.0,0.0,1.0,1.0,12726.244343891403,1,1,1,1,1,1,1,1,0,0,161.0,24,3.0,Undefined,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_lowest_price_flat_for_sale-53180744-21434-1.html,8.0,3.95,10.0,2720.0,1.0,1.0,1.0,14522.058823529413,1,1,1,1,1,1,1,1,1,0,184.0,49,1.0,New Property,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_luxury_3_bed_flat_for_sale_askari_10_in_sector_-_s-53285511-21434-1.html,8.0,3.9,10.0,2720.0,1.0,1.0,1.0,14338.235294117649,1,1,1,1,1,1,0,1,1,1,172.0,43,1.0,Undefined,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_askari_10_brand_new_open_view_top_location_investment_rate_best_for_living_12_marla_4_bedrooms_for_sale-53512369-1011-1.html,9.0,4.52,12.0,3264.0,1.0,1.0,1.0,13848.039215686273,1,1,1,1,1,1,1,0,0,1,147.0,39,7.0,New Property,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_f_this_is_a_3_bedroom_apartment_in_sector_f_askari_10-53883704-10542-1.html,10.0,3.85,10.9,2964.8,1.0,1.0,1.0,12985.698866702643,1,1,1,0,1,1,0,0,1,1,158.0,49,7.0,New Property,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_this_is_a_brand_new_4_bedroom_apartment_in_sector_s_askari_10-53883718-21434-1.html,10.0,4.7,12.2,3318.4,1.0,1.0,1.0,14163.452266152364,1,1,0,0,1,1,0,0,0,1,144.0,33,3.0,New Property,31.465334,74.3801628
