bedrooms,baths,price,area_sqft,kitchens,store_rooms,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,other_rooms,luxury_score,furnishing_score,floors,agePossession,property_type,has_servant_room
3.0,4.0,2.95,2992.0,2.0,1.0,1,1,1,1,1,1,1,1,1,0,184.0,39,1.0,New Property,0,1
3.0,4.0,2.9,2720.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,147.0,39,1.0,Relatively New,0,1
4.0,5.0,4.45,3264.0,1.0,0.0,1,1,1,1,1,1,1,0,1,1,184.0,49,3.0,New Property,0,0
4.0,5.0,4.25,3536.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,49,1.0,Relatively New,0,1
4.0,5.0,4.45,3264.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,154.0,37,4.0,New Property,0,1
3.0,3.0,3.98,2720.0,1.0,1.0,1,1,0,0,1,0,0,0,0,0,65.0,22,8.0,Undefined,0,1
3.0,4.0,3.0,2992.0,2.0,0.0,1,1,0,0,1,1,0,0,0,0,86.0,47,3.0,Undefined,0,0
3.0,4.0,2.7,2720.0,2.0,0.0,0,1,0,0,0,1,0,0,0,0,56.0,9,3.0,Undefined,0,1
3.0,4.0,2.6,2720.0,2.0,0.0,1,1,1,1,1,1,1,1,1,1,131.0,49,3.0,New Property,0,1
4.0,5.0,4.4,3264.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,154.0,37,4.0,New Property,0,1
3.0,4.0,3.25,2992.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,178.0,49,4.0,Relatively New,0,1
3.0,4.0,3.45,2992.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,59.0,22,3.0,Undefined,0,0
3.0,3.0,3.8,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,49,1.0,Relatively New,0,1
3.0,4.0,3.55,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,179.0,49,3.0,New Property,0,1
4.0,5.0,3.4,3264.0,1.0,1.0,1,1,1,1,0,0,1,0,0,1,111.0,16,3.0,Relatively New,0,1
4.0,5.0,4.6,3264.0,1.0,1.0,1,1,1,1,0,0,1,1,0,0,139.0,24,3.0,New Property,0,1
3.0,3.0,3.7,2992.0,1.0,1.0,1,1,1,1,0,0,0,1,0,0,139.0,24,5.0,New Property,0,1
3.0,3.0,2.35,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,158.0,49,2.0,Old Property,0,1
4.0,4.0,4.45,3264.0,1.0,1.0,1,1,1,1,1,1,1,0,1,1,168.0,49,3.0,New Property,0,1
4.0,5.0,4.5,3264.0,1.0,1.0,1,1,1,1,0,0,1,1,0,1,116.0,24,5.0,New Property,0,1
3.0,3.0,3.8,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,49,2.0,Relatively New,0,1
4.0,4.0,5.0,3264.0,1.0,0.0,1,1,1,1,0,0,1,1,0,1,148.0,34,3.0,New Property,0,0
3.0,2.0,5.3,3046.4,1.0,0.0,0,0,0,0,0,0,0,0,0,0,7.0,0,3.0,Undefined,0,0
3.0,4.0,3.3,2720.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,7.0,0,3.0,Undefined,0,0
3.0,3.0,2.75,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,49,7.0,Relatively New,0,1
3.0,3.0,2.59,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,155.0,39,3.0,Relatively New,0,1
