Property ID,Name,Price,Marla,Area (sqft),Bedrooms,Baths,Floor Number,Total Floors,Built Year,Address,Rooms,Other Rooms,Link
52574033,"1 BHK Izmir Town - Block L, Izmir Town, Lahore, Punjab",PKR 75 Lakh,2.2,495,1,1,Not listed,Not listed,,"Izmir Town - Block L, Izmir Town, Lahore, Punjab","{'Bedrooms': '1', 'Bathrooms': '1', 'Kitchens': '1'}",Lounge or Sitting Room,https://www.zameen.com/Property/izmir_town_izmir_town_-_block_l_1_bed_apartment_for_sale_in_izmir_executive_on_possession_canal_road_lahore-52574033-3927-1.html
52503073,"2 BHK Izmir Town - Block L, Izmir Town, Lahore, Punjab",PKR 1.75 Crore,4,900,2,2,Not listed,Not listed,2024,"Izmir Town - Block L, Izmir Town, Lahore, Punjab","{'Bedrooms': '2', 'Bathrooms': '2', 'Servant Quarters': '1', 'Kitchens': '1', 'Store Rooms': '1'}","Drawing Room, Dining Room, Lounge or Sitting Room, Laundry Room",https://www.zameen.com/Property/izmir_town_izmir_town_-_block_l_2_bed_apartment_for_sale_in_izmir_executive_on_possession_canal_road_lahore-52503073-3927-1.html
52503052,"1 BHK Izmir Town - Block L, Izmir Town, Lahore, Punjab",PKR 85 Lakh,2.2,495,1,1,Not listed,Not listed,2024,"Izmir Town - Block L, Izmir Town, Lahore, Punjab","{'Bedrooms': '1', 'Bathrooms': '1', 'Kitchens': '1'}",Lounge or Sitting Room,https://www.zameen.com/Property/izmir_town_izmir_town_-_block_l_1_bed_apartment_for_sale_in_izmir_executive_on_possession_canal_road_lahore-52503052-3927-1.html
48166050,"1 BHK Model Town - Block M, Model Town, Lahore, Punjab",PKR 36 Lakh,1.6,360,1,1,4,5,2000,"Model Town - Block M, Model Town, Lahore, Punjab","{'Bedrooms': '1', 'Bathrooms': '1', 'Servant Quarters': '1', 'Kitchens': '1', 'Store Rooms': '1'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room",https://www.zameen.com/Property/model_town_model_town_-_block_m_1_bedroom_furnished_flat_for_sale_in_modal_town_block_-_m_lahore-48166050-4038-1.html
52966551,#NAME?,PKR 67 Lakh,2.2,495,-,-,Not listed,Not listed,2025,"Amanah Mall Service Apartments, Model Town Link Road, Model Town, Lahore, Punjab","{'Bedrooms': '1', 'Bathrooms': '1', 'Kitchens': '1'}",,https://www.zameen.com/Property/model_town_link_road_amanah_mall_service_apartments_smart_investment_1-bedroom_luxury_apartment_in_amanah_residential_towers_with_premium_amenities_easy_instalments-52966551-19468-1.html
51490725,"1 BHK Amanah Mall Service Apartments, Model Town Link Road, Model Town, Lahore, Punjab",PKR 1.22 Crore,1.6,360,1,1,14,Not listed,2023,"Amanah Mall Service Apartments, Model Town Link Road, Model Town, Lahore, Punjab","{'Bedrooms': '2', 'Bathrooms': '2', 'Kitchens': '1', 'Store Rooms': '1'}","Servant Quarters, Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/model_town_link_road_amanah_mall_service_apartments_installment_net_area_358_sq_ft_fully_furnished_ready_to_move-51490725-19468-1.html
52614051,#NAME?,PKR 1.5 Crore,3.3,742.5,-,-,Not listed,Not listed,2026,"Model Town, Lahore, Punjab",{},"Bedrooms, Bathrooms, Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/lahore_model_town_zameen_neo_gulberg_15_guaranteed_rental_on_residential_units_until_possession-52614051-8-1.html
52740675,"1 BHK Model Town Link Road, Model Town, Lahore, Punjab",PKR 79 Lakh,1.5,337.5,1,1,Not listed,Not listed,2020,"Model Town Link Road, Model Town, Lahore, Punjab","{'Bedrooms': '08', 'Bathrooms': '10', 'Servant Quarters': '2', 'Kitchens': '1', 'Store Rooms': '01'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/model_town_model_town_link_road_direct_owner_1_bedroom_flat_in_model_town_link_road-52740675-3086-1.html
52864707,"1 BHK Canal Garden - Block E, Canal Garden, Lahore, Punjab",PKR 45 Lakh,2.2,495,1,1,Not listed,Not listed,,"Canal Garden - Block E, Canal Garden, Lahore, Punjab","{'Bedrooms': '1', 'Bathrooms': '1'}","Kitchens, Lounge or Sitting Room",https://www.zameen.com/Property/canal_garden_canal_garden_-_block_e_one_bed_furnished_apartment_for_sale_in_canal_garden_block_e-52864707-3645-1.html
52864694,"1 BHK Canal Garden - Block E, Canal Garden, Lahore, Punjab",PKR 31 Lakh,1.6,360,1,1,Not listed,Not listed,,"Canal Garden - Block E, Canal Garden, Lahore, Punjab","{'Bedrooms': '1', 'Bathrooms': '1'}","Kitchens, Lounge or Sitting Room",https://www.zameen.com/Property/canal_garden_canal_garden_-_block_e_one_bed_non_furnished_apartment_available_for_sale_in_canal_garden_lahore-52864694-3645-1.html
52935551,"1 BHK Canal Garden, Lahore, Punjab",PKR 40 Lakh,1.9,427.5,1,1,Not listed,Not listed,,"Canal Garden, Lahore, Punjab",{},,https://www.zameen.com/Property/lahore_canal_garden_one_bedroom_apartment_available_for_sale_in_canal_garden_near_bahria_town_lahore-52935551-1287-1.html
52840760,"1 BHK Canal Garden - Block E, Canal Garden, Lahore, Punjab",PKR 35 Lakh,2,450,1,1,Not listed,Not listed,2024,"Canal Garden - Block E, Canal Garden, Lahore, Punjab","{'Bedrooms': '4', 'Bathrooms': '5', 'Kitchens': '2'}","Servant Quarters, Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/canal_garden_canal_garden_-_block_e_apartment_available_for_sale-52840760-3645-1.html
52884254,"1 BHK Canal Garden, Lahore, Punjab",PKR 50 Lakh,3.5,787.5,1,1,Not listed,Not listed,2024,"Canal Garden, Lahore, Punjab","{'Bedrooms': '4', 'Bathrooms': '3', 'Kitchens': '1', 'Store Rooms': '1'}","Drawing Room, Dining Room, Study Room, Prayer Room",https://www.zameen.com/Property/lahore_canal_garden_spacious_one_bedroom_apartment_for_sale-52884254-1287-1.html
Not found,,,,,,,Not listed,Not listed,,Not listed,{},,https://www.zameen.com/new-projects/khayaban_e_zafar-6595.html
Not found,,,,,,,Not listed,Not listed,,Not listed,{},,https://www.zameen.com/new-projects/khayaban_e_zafar-6595.html
Not found,,,,,,,Not listed,Not listed,,Not listed,{},,https://www.zameen.com/new-projects/khayaban_e_zafar-6595.html
Not found,,,,,,,Not listed,Not listed,,Not listed,{},,https://www.zameen.com/new-projects/khayaban_e_zafar-6595.html
Not found,,,,,,,Not listed,Not listed,,Not listed,{},,https://www.zameen.com/new-projects/khayaban_e_zafar-6595.html
Not found,,,,,,,Not listed,Not listed,,Not listed,{},,https://www.zameen.com/new-projects/khayaban_e_zafar-6595.html
Not found,,,,,,,Not listed,Not listed,,Not listed,{},,https://www.zameen.com/new-projects/khayaban_e_zafar-6595.html
Not found,,,,,,,Not listed,Not listed,,Not listed,{},,https://www.zameen.com/new-projects/khayaban_e_zafar-6595.html
Not found,,,,,,,Not listed,Not listed,,Not listed,{},,https://www.zameen.com/new-projects/khayaban_e_zafar-6595.html
Not found,,,,,,,Not listed,Not listed,,Not listed,{},,https://www.zameen.com/new-projects/khayaban_e_zafar-6595.html
Not found,,,,,,,Not listed,Not listed,,Not listed,{},,https://www.zameen.com/new-projects/khayaban_e_zafar-6595.html
Not found,,,,,,,Not listed,Not listed,,Not listed,{},,https://www.zameen.com/new-projects/khayaban_e_zafar-6595.html
52924610,"1 BHK Ali Housing Scheme, Multan Road, Lahore, Punjab",PKR 42 Lakh,3,675,1,1,Not listed,Not listed,,"Ali Housing Scheme, Multan Road, Lahore, Punjab",{},,https://www.zameen.com/Property/multan_road_ali_housing_scheme_ali_housing_scheme_flat_sized_675_square_feet-52924610-21097-1.html
52924615,"1 BHK Ali Housing Scheme, Multan Road, Lahore, Punjab",PKR 42 Lakh,3,675,1,1,Not listed,Not listed,,"Ali Housing Scheme, Multan Road, Lahore, Punjab",{},,https://www.zameen.com/Property/multan_road_ali_housing_scheme_flat_sized_675_square_feet_available_in_ali_housing_scheme-52924615-21097-1.html
52092734,"2 BHK Yateem Khana Chowk, Multan Road, Lahore, Punjab",PKR 35 Lakh,2,450,2,2,7,13,2024,"Yateem Khana Chowk, Multan Road, Lahore, Punjab","{'Bedrooms': '5', 'Bathrooms': '6', 'Servant Quarters': '1', 'Kitchens': '2', 'Store Rooms': '1'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/multan_road_yateem_khana_chowk_flat_for_sale_in_alhermain_plaza_yateem_khana_lahore-52092734-12376-1.html
52610553,"2 BHK Ali Housing Scheme, Multan Road, Lahore, Punjab",PKR 42 Lakh,3,675,2,2,Not listed,Not listed,,"Ali Housing Scheme, Multan Road, Lahore, Punjab",{},,https://www.zameen.com/Property/multan_road_ali_housing_scheme_2_bedroom_floor_wise_town_homes_for_sale_on_installments_in_ali_housing_scheme_main_multan_road_near_bahria_town_lahore-52610553-21097-1.html
52676180,"1 BHK Classic Homes, Kamahan Road, Lahore, Punjab",PKR 57 Lakh,5,1125,1,1,Not listed,Not listed,,"Classic Homes, Kamahan Road, Lahore, Punjab",{},"Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym",https://www.zameen.com/Property/kamahan_road_classic_homes_5_marla_town_flat_available_for_sale_on_prime_location_of_dha_phase_5-52676180-21800-1.html
52649286,"2 BHK Classic Homes, Kamahan Road, Lahore, Punjab",PKR 97.5 Lakh,4.3,967.5,2,3,Not listed,3,2025,"Classic Homes, Kamahan Road, Lahore, Punjab","{'Bedrooms': '2', 'Bathrooms': '2', 'Servant Quarters': '2', 'Kitchens': '1', 'Store Rooms': '1'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/kamahan_road_classic_homes_on_easy_installment_plan_1_and_2_bed_apartment_in_classic_homes-52649286-21800-1.html
52676187,"2 BHK Classic Homes, Kamahan Road, Lahore, Punjab",PKR 1.15 Crore,4.5,1012.5,2,2,Not listed,Not listed,2025,"Classic Homes, Kamahan Road, Lahore, Punjab","{'Bedrooms': '5', 'Bathrooms': '6', 'Servant Quarters': '1', 'Kitchens': '2', 'Store Rooms': '1'}","Drawing Room, Dining Room, Study Room, Steam Room, Lounge or Sitting Room, Laundry Room",https://www.zameen.com/Property/kamahan_road_classic_homes_2_bed_apartment_for_sale_in_clasic_home-52676187-21800-1.html
52858419,"2 BHK Al Wajaf Apartments, Kamahan Road, Lahore, Punjab",PKR 78.5 Lakh,3.1,697.5,2,2,Not listed,3,2024,"Al Wajaf Apartments, Kamahan Road, Lahore, Punjab","{'Bedrooms': '2', 'Bathrooms': '2', 'Servant Quarters': '1', 'Kitchens': '1', 'Store Rooms': '1'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/kamahan_road_al_wajaf_apartments_al_wajaf_apartments_for_sale-52858419-21363-1.html
